,Molecule ChEMBL ID,Canomial_smiles,pChEMBL Value
68,CHEMBL389566,CN1CC[S+]([O-])CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.43
69,CHEMBL242924,CN1CCN(C(=O)c2ccccc2)CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.92
70,CHEMBL394782,Cn1c(C2COCCN2)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,7.3
71,CHEMBL394537,CN1CCN(C(=O)OC(C)(C)C)CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.39
72,CHEMBL389142,CN1CCOCC1c1nc(C(=O)NCc2cccc(Cl)c2)c(O)c(=O)n1C,7.21
73,CHEMBL243150,CN1CCN(S(C)(=O)=O)CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.96
74,CHEMBL397268,CN1CCS(=O)(=O)CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,6.85
75,CHEMBL538587,CN1CCOCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C.Cl,7.6
76,CHEMBL389332,CN1C[C@H](OCc2ccccc2)C[C@H]1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,6.89
77,CHEMBL389331,CO[C@@H]1C[C@@H](c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)N(C)C1,6.75
78,CHEMBL394847,CN1C[C@H](F)C[C@H]1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.7
79,CHEMBL427698,CN1CCNCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,6.7
80,CHEMBL395819,CN1CCOCC1c1nc(C(=O)NCc2ccc(F)c(Br)c2)c(O)c(=O)n1C,7.36
81,CHEMBL242353,CCO[C@@H]1C[C@@H](c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)N(C)C1,6.7
82,CHEMBL244700,CC(=O)N[C@H]1C[C@@H](c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)N(C)C1,7.21
83,CHEMBL1161980,CN1CCOCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C.O=C(O)C(F)(F)F,7.22
84,CHEMBL243655,CN1CC[C@@H](OCc2ccccc2)C[C@H]1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.21
85,CHEMBL244051,CC1CCN(C)C1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,6.15
86,CHEMBL217020,O=C(NCc1ccc(F)cc1)c1nc(Cc2ccccc2)nc(O)c1O,7.3
87,CHEMBL217285,Cc1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)[nH]1,7.22
88,CHEMBL407451,CN1CCCCC1c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1,6.7
89,CHEMBL386710,CN1CCOCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.22
90,CHEMBL385951,O=C(NCc1ccccc1)c1nc(-c2ccccc2)nc(O)c1O,7.16
91,CHEMBL437708,O=C(NCc1ccccc1)c1nc(-c2cccs2)nc(O)c1O,7.07
92,CHEMBL216317,CC(c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1)N(C)C,7.1
93,CHEMBL216389,CN1CCCCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,6.68
94,CHEMBL217776,CN(C)C(c1ccccc1)c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1,6.7
95,CHEMBL216373,CN(C)Cc1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1,6.7
